Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)
 265     6.016  -11515217.944  43322402  -0.00118   0.00065
 266     6.026  -11515362.921  43741837   0.00635  -0.00014
 267     6.186  -11515380.315  42138921  -0.00544   0.00222
 268     6.126  -11515160.357  42194236  -0.00342   0.00452
 269     5.996  -11515389.306  43216207   0.00287   0.00223
 270     5.816  -11515183.419  44482362   0.00208  -0.00523
 271     5.896  -11515569.722  41711856   0.00329   0.00834
 272     6.016  -11515172.033  44192552  -0.00174  -0.00282
 273     5.986  -11515290.442  42781396  -0.00167   0.00422
 274     5.966  -11515099.433  44986554  -0.00365  -0.00471
 275     5.996  -11515172.282  44558535  -0.00268  -0.00532
 276     6.046  -11515177.074  42734574   0.00112   0.00568
 277     5.956  -11515432.549  42470234   0.00362   0.00486
 278     6.126  -11515436.093  42200811  -0.00338   0.00536
 279     6.126  -11515026.707  45626504  -0.00377  -0.00638
 280     5.906  -11515183.742  43941434  -0.00262  -0.00319
 281     6.166  -11515270.892  42284797  -0.00649   0.00273
 282     6.226  -11515269.602  42654297  -0.00246   0.00207
 283     5.876  -11515186.638  43087956   0.00361   0.00181
 284     6.116  -11515222.301  41453053  -0.00279   0.00559
 285     6.086  -11515367.712  42463479   0.00453   0.00380
 286     5.916  -11515378.599  42487629   0.00521   0.00383
 287     5.966  -11515505.493  41506006  -0.00419   0.00613
 288     6.206  -11515072.069  44024202  -0.00252  -0.00203
 289     6.166  -11515149.018  44161492  -0.00080  -0.00211
 290     5.846  -11515119.120  45134677   0.00199  -0.00700
 291     5.956  -11515169.661  44482755   0.00013  -0.00194
 292     5.926  -11515315.925  41742915  -0.00251   0.00676
 293     6.036  -11515528.310  39219996  -0.00886   0.01644
 294     5.906  -11515521.967  41777578   0.00271   0.00797
 295     6.056  -11515198.943  45173441   0.00402  -0.00589
 296     6.086  -11515342.090  41571862   0.00199   0.00781
 297     6.026  -11515090.351  45767205  -0.00054  -0.00713
 298     6.106  -11515452.319  42119958   0.00321   0.00492
 299     5.936  -11514959.200  46846048  -0.00073  -0.01091
 300     6.136  -11515221.003  45279946  -0.00296  -0.00570
 301     6.176  -11515238.612  41110030  -0.01161   0.00588
 302     6.046  -11515353.490  41087611  -0.00240   0.00896
 303     5.946  -11515170.976  43982716   0.00210  -0.00036
 304     6.046  -11515340.186  43127378   0.00052   0.00054
 305     5.966  -11515268.076  43745426  -0.00049   0.00306
 306     6.016  -11515476.703  41728620  -0.00060   0.00734
 307     5.916  -11515007.318  45192690  -0.00436  -0.00283
 308     5.896  -11515378.115  43692812  -0.00013   0.00057
 309     6.116  -11515325.845  43057345  -0.00308   0.00414
 310     6.116  -11515198.359  44592203  -0.00190  -0.00650
 311     5.946  -11515245.160  45639868   0.00990  -0.00754
 312     5.906  -11515237.407  44576545   0.00590  -0.00032
 313     6.116  -11515113.298  43852169   0.00030  -0.00110
 314     5.956  -11515086.438  44140837  -0.00163  -0.00361
 315     5.906  -11515578.944  42017385  -0.00170   0.00664
 316     6.086  -11515046.575  45670445   0.00230  -0.00777
 317     5.936  -11515248.250  45222038   0.00469  -0.00573
 318     6.176  -11515315.411  41535221  -0.00273   0.00448
 319     5.856  -11515316.863  42798806   0.00205   0.00110
 320     6.046  -11515344.812  42194870  -0.00196   0.00269
 321     5.946  -11515243.600  44476445   0.00127  -0.00239
 322     5.956  -11515149.460  44511634  -0.00382  -0.00083
 323     6.046  -11515346.858  43228278   0.00108   0.00049
 324     5.806  -11515002.092  47318323  -0.00131  -0.01459
 325     6.086  -11515159.236  43779587   0.00046  -0.00296
 326     5.976  -11515161.097  45697320   0.00132  -0.00669
 327     5.876  -11515267.536  44414362  -0.00156  -0.00133
 328     6.136  -11515135.560  43455101  -0.00623   0.00106
 329     5.976  -11515133.260  46441862   0.00217  -0.00841
 330     6.096  -11515206.462  42135232  -0.01061   0.00431
 331     5.856  -11515038.551  46967654  -0.00165  -0.01240
 332     5.846  -11515320.750  44057144   0.00475  -0.00359
 333     6.126  -11515018.205  44098922  -0.00438  -0.00188
 334     6.106  -11515335.415  42656678  -0.00443   0.00103
 335     6.066  -11515229.584  43235670   0.00528   0.00099
 336     5.796  -11515214.570  44434028   0.00063  -0.00168
 337     6.066  -11515225.495  43712187  -0.00337  -0.00165
 338     6.016  -11515174.128  44053679  -0.00028  -0.00322
 339     5.906  -11515118.769  45329483  -0.00232  -0.00601
 340     6.106  -11515343.846  40564382  -0.00232   0.00844
 341     5.756  -11515275.969  44787414  -0.00114  -0.00428
 342     6.116  -11515017.498  44450482  -0.00705  -0.00419
 343     6.006  -11515331.507  42858194   0.00911   0.00091
 344     5.896  -11515210.872  44051467   0.00021  -0.00092
 345     5.996  -11515381.840  43590388   0.00142   0.00157
 346     6.056  -11515203.703  44028169   0.00001  -0.00177
 347     5.926  -11515325.369  42843213   0.00291   0.00199
 348     5.946  -11515239.699  43521530  -0.00853   0.00054
 349     6.026  -11515393.221  41377034   0.00315   0.00744
 350     6.016  -11515250.925  44190990   0.00017  -0.00175
 351     5.896  -11515129.909  47057861   0.00343  -0.01311
 352     5.866  -11515514.738  43675242  -0.00222   0.00028
 353     6.116  -11515081.172  45981482  -0.00029  -0.00804
 354     6.056  -11515339.679  43176716   0.00299   0.00003
 355     6.246  -11515227.472  41637055  -0.00826   0.00585
 356     6.016  -11515012.021  44519463  -0.00344  -0.00089
 357     6.026  -11515243.624  43769633  -0.00159  -0.00113
 358     5.926  -11515289.430  43761926  -0.00224  -0.00009
 359     5.916  -11515427.820  44050137   0.00915  -0.00343
 360     6.116  -11515201.284  43848894  -0.00759  -0.00007
 361     6.076  -11515390.837  40962340  -0.00242   0.00799
 362     5.896  -11515515.079  43048354   0.00465   0.00116
 363     5.966  -11515285.004  42972725  -0.00057  -0.00014
 364     6.156  -11515427.617  40692105   0.00048   0.00869
 365     6.226  -11515305.354  41041451   0.00059   0.00751
 366     5.786  -11515315.920  43242992   0.00227   0.00083
 367     6.066  -11515394.659  42575074   0.00623   0.00113
 368     5.986  -11515323.781  44228309   0.00293  -0.00233
 369     6.076  -11515035.046  44558814  -0.00449  -0.00560
 370     5.816  -11515031.365  47024859   0.00661  -0.01053
 371     6.006  -11515049.295  44357844  -0.00519  -0.00521
 372     5.926  -11515263.903  44850992   0.00186  -0.00281
 373     6.006  -11515200.223  43411161   0.00070  -0.00266
 374     5.806  -11515408.573  42907076   0.00384   0.00078
 375     6.046  -11515119.760  41993329  -0.00599   0.00697
 376     5.966  -11515298.991  44283973  -0.00254  -0.00311
 377     6.116  -11515007.140  43238712  -0.00798   0.00260
 378     5.926  -11515058.674  45317278  -0.00209  -0.00363
 379     6.036  -11515406.528  42693054  -0.00005   0.00099
 380     6.086  -11515350.762  44235370   0.00049  -0.00373
 381     6.076  -11515129.606  43760811  -0.00896  -0.00125
 382     5.946  -11515331.004  42981502   0.00169   0.00050
 383     5.866  -11515600.609  41780896   0.00792   0.00672
 384     6.006  -11515387.642  41640298  -0.00903   0.00858
 385     5.906  -11515213.302  44404744  -0.00102  -0.00370
 386     6.146  -11515186.755  44851385  -0.00109  -0.00692
 387     5.906  -11515252.437  45382342   0.00348  -0.00580
 388     5.836  -11515706.947  40374168   0.00203   0.01270
 389     6.196  -11515299.480  39324524  -0.01147   0.01377
 390     6.046  -11515252.054  45053567   0.00640  -0.00486
 391     6.066  -11515211.499  44649827  -0.00148  -0.00353
 392     5.806  -11515251.890  45325205   0.00482  -0.00693
 393     6.006  -11514914.703  45748145  -0.00824  -0.00832
 394     5.856  -11515316.060  43118170   0.00211   0.00250
 395     5.946  -11515194.076  44038376   0.00246  -0.00353
 396     6.116  -11515133.134  44390976  -0.00007  -0.00449
 397     6.046  -11515232.097  43221555  -0.00355   0.00152
 398     6.056  -11515674.771  39282616  -0.00203   0.01932
 399     5.846  -11515446.708  42347373   0.00057   0.00350
 400     6.076  -11515680.594  39226662   0.00154   0.01418
 401     6.016  -11515272.649  42471716  -0.00065   0.00447
 402     6.016  -11514956.599  47902564  -0.00932  -0.01759
 403     5.916  -11515200.333  45495671   0.00484  -0.00776
 404     5.796  -11515331.639  45001314   0.00565  -0.00520
 405     5.976  -11515256.360  44960232  -0.00109  -0.00295
 406     6.206  -11514992.005  44949338  -0.00942  -0.00356
 407     5.956  -11515128.319  46445497  -0.00151  -0.01151
 408     6.116  -11514938.123  46539652  -0.01032  -0.01102
 409     6.176  -11515208.793  43115504  -0.00274   0.00283
