Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)
 159     1.510  -10278819.936  5573309   0.00396   0.00667
 160     1.480  -10278788.128  5802851   0.00339   0.00388
 161     1.420  -10278742.202  6449527   0.00011  -0.00574
 162     1.390  -10278738.453  6085973   0.00948  -0.00201
 163     1.390  -10278565.992  6378888  -0.00919  -0.00268
 164     1.500  -10278761.525  5805744  -0.00507   0.00240
 165     1.370  -10278809.504  5513810  -0.00107   0.00525
 166     1.360  -10278774.088  5380410  -0.00105   0.00758
 167     1.350  -10278732.040  6369950   0.00108  -0.00343
 168     1.540  -10278650.413  6435476  -0.00769  -0.00425
 169     1.440  -10278796.290  5993395   0.00246  -0.00061
 170     1.350  -10278787.639  5754856   0.00709   0.00384
 171     1.370  -10278788.996  5879710   0.00424   0.00067
 172     1.390  -10278690.474  5848340  -0.00016   0.00287
 173     1.400  -10278707.576  6026880  -0.00364   0.00047
 174     1.390  -10278750.623  5780952  -0.00128   0.00286
 175     1.420  -10278763.927  5314065   0.00118   0.00638
 176     1.480  -10278612.435  6419603  -0.01293  -0.00532
 177     1.550  -10278740.544  5478569  -0.00553   0.00741
 178     1.350  -10278825.427  6011113   0.00595   0.00081
 179     1.370  -10278771.065  5769719   0.00604   0.00141
 180     1.400  -10278742.029  6200824  -0.00071  -0.00232
 181     1.490  -10278838.725  5307972  -0.00192   0.00779
 182     1.360  -10278752.774  6168314   0.00211  -0.00213
 183     1.420  -10278700.953  5682734  -0.00458   0.00357
 184     1.390  -10278733.339  5816435  -0.01411   0.00312
 185     1.400  -10278666.039  6924623   0.00063  -0.00642
 186     1.370  -10278753.602  5841414   0.00163   0.00282
 187     1.350  -10278667.269  6581834  -0.00236  -0.00662
 188     1.480  -10278777.853  5348542  -0.00060   0.00701
 189     1.440  -10278764.321  5849332  -0.00105   0.00371
 190     1.470  -10278715.816  6073555   0.00181  -0.00118
 191     1.420  -10278686.888  6109617  -0.00347  -0.00047
 192     1.370  -10278773.306  6487055   0.00654  -0.00352
 193     1.450  -10278724.125  6073410   0.00301  -0.00170
 194     1.370  -10278773.818  6000092   0.00260   0.00050
 195     1.400  -10278685.489  5687963  -0.00439   0.00407
 196     1.370  -10278820.973  5490539  -0.00070   0.00483
 197     1.370  -10278679.931  6236123   0.00458  -0.00138
 198     1.430  -10278836.036  5930153   0.00532   0.00161
