Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)
 182     4.995  -8924394.217  25644224  -0.00590  -0.00080
 183     4.865  -8924304.358  26552804   0.00698  -0.00109
 184     4.865  -8924374.458  25616997  -0.00198   0.00196
 185     5.025  -8924337.983  26636776  -0.00152  -0.00291
 186     4.915  -8924359.307  27267154   0.00554  -0.00610
 187     4.975  -8924242.915  27961414   0.00447  -0.00715
 188     4.905  -8924412.069  26717707   0.00611  -0.00303
 189     4.895  -8924235.470  28193105   0.00079  -0.00839
 190     4.995  -8924284.000  27149370  -0.00276  -0.00774
 191     5.005  -8924233.059  28946782   0.00233  -0.01584
 192     5.015  -8924284.260  26677074   0.00389  -0.00166
 193     4.865  -8924430.989  25006120   0.00588   0.00489
 194     4.945  -8924458.995  27078171   0.01311  -0.00530
 195     5.005  -8924317.397  26095101  -0.00102  -0.00103
 196     4.895  -8924366.370  26971332   0.00829  -0.00376
 197     4.955  -8924384.443  26226722   0.00112  -0.00257
 198     4.915  -8924362.037  25097402  -0.00433   0.00264
 199     4.935  -8924380.311  25316453  -0.00582   0.00373
 200     4.995  -8924517.150  23668241   0.00048   0.01322
 201     5.125  -8924358.027  24615817   0.00230   0.00674
 202     4.925  -8924392.924  26311863   0.00763  -0.00043
 203     4.935  -8924392.841  25232578  -0.00042   0.00443
 204     5.005  -8924257.888  25379157   0.00045   0.00280
 205     4.865  -8924261.709  26623445   0.00645  -0.00269
 206     4.895  -8924533.026  23511330  -0.00353   0.01398
 207     4.835  -8924440.092  25309086   0.00304   0.00574
 208     4.945  -8924357.746  24825446  -0.00196   0.00695
 209     4.895  -8924169.067  27799406   0.00180  -0.00661
 210     4.945  -8924308.486  26732815   0.00367  -0.00401
 211     5.055  -8924236.595  26552683   0.00121  -0.00344
 212     4.905  -8924285.224  26533078  -0.00497  -0.00042
 213     4.925  -8924491.507  23693557   0.00131   0.01146
 214     4.965  -8924431.296  25488812   0.00144   0.00319
 215     4.875  -8924326.818  26041332  -0.00002  -0.00041
 216     4.995  -8924431.865  26343238  -0.00376  -0.00018
 217     4.965  -8924441.368  26040465   0.00088  -0.00113
 218     4.935  -8924339.721  25675449  -0.00197   0.00327
 219     4.975  -8924237.174  25606665  -0.00575   0.00184
 220     5.035  -8924445.390  25085977   0.00172   0.00326
 221     4.965  -8924390.814  25132924  -0.00029   0.00279
 222     5.035  -8924270.667  24519353  -0.01833   0.00707
 223     4.835  -8924365.150  25533753   0.00102   0.00556
 224     5.065  -8924317.347  25842443   0.00112   0.00199
 225     4.895  -8924385.409  26335856   0.00043  -0.00167
 226     4.875  -8924435.016  25381024   0.00177   0.00365
 227     4.845  -8924262.447  27895729   0.00217  -0.00474
 228     5.165  -8924212.645  25678119  -0.00942   0.00203
 229     4.885  -8924318.470  26577173  -0.00587  -0.00422
 230     4.965  -8924475.344  24073502  -0.00247   0.01164
 231     4.845  -8924269.940  27035659   0.00069  -0.00487
 232     4.825  -8924425.306  25761838  -0.00091   0.00438
 233     4.905  -8924243.434  26911096   0.00138  -0.00515
 234     5.005  -8924238.506  25862907   0.00028   0.00144
 235     4.875  -8924493.071  24731594   0.00032   0.00815
 236     4.945  -8924273.682  26745905   0.00368  -0.00409
 237     4.945  -8924274.632  25425546  -0.00612   0.00010
 238     4.905  -8924292.551  27702394   0.00179  -0.00820
 239     4.845  -8924379.465  25433876   0.00216   0.00327
 240     4.815  -8924475.334  25638617   0.00848   0.00412
 241     4.985  -8924436.771  23794335  -0.00407   0.01082
 242     4.925  -8924332.540  26212116  -0.00638  -0.00023
 243     4.845  -8924347.793  26683522   0.00129  -0.00190
 244     5.025  -8924344.311  25372437  -0.00185   0.00221
 245     4.885  -8924499.278  25160800  -0.00269   0.00420
 246     4.895  -8924233.740  28304478   0.00378  -0.00923
 247     4.865  -8924389.943  26185110   0.00368  -0.00019
 248     4.825  -8924342.073  27699808   0.00213  -0.00800
 249     4.915  -8924392.378  25731320   0.00174   0.00030
 250     5.005  -8924396.625  24657604  -0.00521   0.00728
 251     5.025  -8924304.820  24985564  -0.00704   0.00544
 252     5.035  -8924320.429  24889365  -0.00460   0.00469
 253     5.065  -8924122.899  26761603  -0.00225  -0.00393
 254     4.885  -8924378.167  25661420  -0.00258   0.00195
 255     4.875  -8924405.172  25427014   0.00331   0.00624
 256     5.155  -8924174.223  26276135  -0.00378  -0.00198
 257     4.925  -8924398.927  26600203   0.00752  -0.00183
 258     4.895  -8924322.096  26491592   0.00942  -0.00052
 259     4.995  -8924352.970  25651562  -0.00149   0.00006
 260     5.205  -8924189.472  25122449  -0.01057   0.00442
 261     5.015  -8924228.413  27380015   0.00785  -0.00850
 262     4.855  -8924400.174  25095213  -0.00314   0.00734
 263     4.905  -8924309.535  26864581   0.00093  -0.00491
 264     5.115  -8924247.310  25265568  -0.00380   0.00234
 265     4.935  -8924352.144  25328916   0.00125   0.00178
 266     5.005  -8924368.426  26464751   0.00635  -0.00182
 267     4.875  -8924338.521  26284178   0.00282  -0.00354
 268     5.025  -8924267.024  25992700  -0.00197  -0.00149
 269     4.935  -8924350.827  26053680   0.00402   0.00122
 270     4.785  -8924397.073  25885034   0.00443  -0.00031
 271     4.845  -8924358.971  25829316  -0.00056   0.00368
 272     5.115  -8924304.310  26199669  -0.00043  -0.00262
 273     5.065  -8924306.822  26518543   0.00519  -0.00118
 274     5.065  -8924220.309  26446175  -0.00340  -0.00278
 275     4.885  -8924462.614  23958857  -0.00316   0.01022
 276     4.845  -8924454.938  26590111   0.00310  -0.00236
 277     4.935  -8924353.179  26837081   0.00729  -0.00290
 278     4.965  -8924252.525  27022764  -0.00054  -0.00428
 279     4.875  -8924360.589  26391426  -0.00456   0.00054
 280     4.955  -8924445.051  25808127   0.00774   0.00126
 281     4.925  -8924441.507  25464560  -0.00113   0.00329
 282     4.995  -8924237.836  26582849   0.00186  -0.00545
 283     4.875  -8924341.394  26291712   0.00416  -0.00149
 284     4.885  -8924298.615  27618830   0.00387  -0.00915
 285     4.855  -8924476.527  25639873   0.00266   0.00164
 286     4.725  -8924353.930  25476751   0.00133   0.00551
 287     5.055  -8924302.404  24877564  -0.00222   0.00580
 288     4.855  -8924449.773  24807620  -0.00194   0.00690
 289     4.965  -8924373.066  26258426   0.00256  -0.00056
 290     4.935  -8924345.988  27152996   0.00568  -0.00964
 291     5.065  -8924086.740  26706924  -0.01239  -0.00248
 292     4.975  -8924307.548  25215873  -0.00532   0.00497
 293     4.835  -8924377.204  26752839   0.00872  -0.00295
 294     4.895  -8924330.929  26984279   0.00405  -0.00318
 295     5.065  -8924239.139  26440168  -0.01025  -0.00275
 296     5.015  -8924418.359  25119262   0.00166   0.00440
 297     5.055  -8924210.615  27477897   0.00216  -0.00656
 298     4.925  -8924364.985  25500333  -0.00473   0.00277
 299     4.925  -8924325.932  25941993   0.00163   0.00069
 300     5.025  -8924263.125  27508145  -0.00199  -0.00523
 301     4.935  -8924418.565  25561369   0.00170   0.00351
 302     5.025  -8924203.790  26121640  -0.00432  -0.00117
 303     4.895  -8924171.665  28125493   0.00213  -0.01015
 304     4.985  -8924317.525  27541924   0.00040  -0.00408
 305     4.915  -8924434.080  25092711  -0.00151   0.00295
 306     4.945  -8924216.733  26033792  -0.00795  -0.00082
 307     4.965  -8924112.734  26543615  -0.01020  -0.00333
 308     4.915  -8924440.615  27396865   0.00304  -0.00521
 309     4.825  -8924306.633  26543383  -0.00407  -0.00248
 310     4.705  -8924338.546  26270405   0.00465  -0.00000
 311     4.975  -8924315.431  25843738  -0.00171   0.00063
 312     5.065  -8924180.276  27188474  -0.00820  -0.00844
 313     4.915  -8924166.935  27863222   0.00258  -0.00779
 314     4.995  -8924477.892  25006324   0.00238   0.00632
 315     4.935  -8924069.535  27877915  -0.00342  -0.00955
 316     4.975  -8924249.206  26885549  -0.00067  -0.00483
 317     4.885  -8924479.654  24916045   0.00657   0.00611
 318     4.825  -8924300.169  27341624   0.00306  -0.00436
 319     4.875  -8924261.183  26613682  -0.00125   0.00087
 320     5.085  -8924267.509  25479790  -0.00208   0.00306
 321     5.115  -8924307.886  24760852  -0.00657   0.00571
 322     4.825  -8924390.996  25153904   0.00690   0.00325
 323     4.925  -8924315.574  26807841   0.00052  -0.00666
 324     4.945  -8924396.070  24294473   0.00222   0.00950
 325     4.965  -8924397.660  26069264   0.00571   0.00163
 326     4.965  -8924495.287  24587722   0.01046   0.01007
 327     5.025  -8924296.507  26262793  -0.00198   0.00114
 328     4.945  -8924320.130  25235228  -0.00344   0.00312
 329     4.895  -8924353.286  26521227   0.00634   0.00049
 330     5.025  -8924227.087  25636150  -0.00684   0.00119
 331     4.945  -8924425.292  24229018  -0.00588   0.00902
 332     5.025  -8924317.878  25559346   0.00070   0.00497
 333     4.965  -8924341.828  26980866  -0.00332  -0.00519
 334     5.005  -8924400.145  24134084  -0.00262   0.00871
 335     4.885  -8924538.713  24258904  -0.00160   0.00957
 336     4.935  -8924453.562  24778615  -0.00440   0.00616
 337     4.925  -8924241.577  26435639  -0.00196  -0.00062
 338     5.015  -8924292.022  26857966   0.00610  -0.00327
 339     4.845  -8924503.452  24825862   0.00443   0.00690
 340     4.945  -8924257.658  27413270  -0.00148  -0.00701
 341     4.995  -8924255.816  27296508  -0.00200  -0.00670
 342     4.955  -8924493.839  23670021  -0.00071   0.01323
 343     4.875  -8924456.836  25583573   0.00727   0.00372
