
Rho     Fit     CLR     CF
    0.60 10826.59    0.000  -18.237
    0.50 10654.65   86.772 -295.562
    0.60 10243.34    0.000 -146.483
    0.60 10287.32    0.000  -29.963
    0.60  9777.44    0.000 -143.631
    0.50 11118.59   49.941 -170.074
    0.60 12948.72    0.000  117.152
    0.50 11289.46  110.727  226.026
    0.70 12558.15   14.299 -222.295
    0.60 11064.12    0.000 -142.369
    0.50 10434.41   30.369  -95.767
    0.50 11085.06  100.890  179.816
    0.60 11357.62    0.000  -71.614
    0.60 10036.65    0.000  -96.369
    0.70 12040.57    1.432 -212.630
    0.50 11662.10   51.706  127.295
    0.60 10752.22    0.000  -66.752
    0.50  9713.52   15.023 -158.136
    0.50 10172.72   68.934 -167.426
    0.60  9273.77    0.000  -88.180
    0.60 10225.50    0.000 -119.958
    0.80 13738.50  166.694  -75.771
    0.70 12283.59   43.098 -109.279
    0.60 10501.84    0.000   88.446
    0.40 10280.12  141.727 -253.916
    0.60  9651.89    0.000  -46.064
    0.50  9876.28  111.249   46.838
    0.60 11395.81    0.000  -49.963
    0.50 11695.26  103.717   -4.333
    0.50 10327.42   47.915   22.052
    0.60 11126.84    0.000   50.329
    0.60 11412.18    0.000  176.941
    0.60 10740.11    0.000 -232.808
    0.50 11116.67   73.173  -25.049
    0.60 10063.72    0.000  -71.673
    0.50  9585.93   28.713 -267.414
    0.50 10579.61   58.217 -109.099
    0.60 11095.02    0.000 -187.831
    0.60 10482.42    0.000 -155.071
    0.60 10393.46    0.000 -126.416
    0.50 10372.39   98.229   17.246
    0.60 10116.29    0.000  -11.793
    0.50 11561.43   15.226 -147.678
    5.30 16671.85  804.990 -216.706
    0.50 10392.82   24.352 -273.801
    0.60 10628.55    0.000   79.693
    0.60 10476.61    0.000   41.969
    0.60 11449.38    0.000 -124.249
    0.70 12994.71   71.149  -17.557
    0.50  9755.81   57.929   40.881
    0.60 11919.81    0.000  -62.423
    0.60 10174.56    0.000    7.733
    0.50 11566.39   53.213   85.549
    0.70 13742.28   72.129   12.115
    0.60  9850.22    0.000 -429.834
    0.50 10744.18    1.219  -88.958
    0.60 12539.69    0.000  112.977
    0.80 14585.28  170.319 -128.095
    0.60  9849.02    0.000  -70.243
    0.60 10738.86    0.000 -132.739
    0.50 11748.60    4.661   63.052
    0.60 11146.39    0.000 -132.641
    0.60 12314.20    0.000 -159.549
    0.50 10233.43   52.135 -270.820
    0.60  9959.93    0.000   42.534
    0.80 16478.33  256.250  -71.354
    0.50 10615.80   48.886  106.950
    0.50 10315.41   66.761 -209.437
    0.50 10871.44   97.197 -206.077
    0.60 10115.26    0.000   88.640
    0.60 12064.94    0.000   26.414
    0.50 10760.79   29.346  -73.808
    0.50 10549.87   66.161 -122.524
    0.50 10296.34   89.374   18.867
    0.50  9955.56    1.306  -40.176
    0.40 10382.32  169.391  -33.661
    0.60 10596.28    0.000   75.546
    0.50 11207.66   66.578  -20.182
    0.60 11483.38    0.000   61.041
    0.50  9494.15    9.454 -210.062
    0.60 10459.31    0.000 -316.401
    0.50 11253.00    4.368 -133.069
    0.60 11338.59    0.000 -104.064
    0.60  9840.24    0.000 -142.722
    0.60 10116.03    0.000  -74.952
    0.60 11005.76    0.000  -24.527
    0.60 11997.32    0.000  102.616
    0.50  9351.30   74.307  -18.457
    0.60 13495.01    0.000   21.042
    0.60 10070.17    0.000 -107.390
    0.70 11592.44    8.517 -289.092
