Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)
 163     4.130  -19704124.643  31405906   0.00673  -0.00132
 164     4.060  -19703841.223  33097346  -0.00280  -0.00149
 165     4.030  -19704042.454  32224819  -0.00098  -0.00345
 166     3.920  -19703984.839  33761547  -0.00169  -0.00615
 167     4.030  -19704168.741  31673962  -0.00246  -0.00107
 168     4.230  -19704326.300  27099045  -0.00346   0.01180
 169     4.230  -19704182.444  30341491  -0.00025   0.00382
 170     4.100  -19703708.306  33703569  -0.00439  -0.00448
 171     4.100  -19703999.885  31933527   0.00195  -0.00382
 172     3.940  -19704251.201  32054704   0.00732  -0.00066
 173     4.270  -19703865.491  29135531  -0.00396   0.00441
 174     4.070  -19704174.472  32044644   0.00121  -0.00172
 175     3.950  -19704342.594  31653623   0.00091  -0.00060
 176     3.990  -19704135.707  29852504  -0.00610   0.00454
 177     4.220  -19704070.189  30432090  -0.00166   0.00289
 178     4.000  -19704260.360  33637789  -0.00063  -0.00695
 179     4.050  -19703976.281  31722729  -0.00420   0.00137
 180     4.300  -19703945.170  31425698  -0.00222  -0.00431
 181     4.100  -19704093.605  29837194  -0.00465   0.00418
 182     3.930  -19704105.028  29839127  -0.00242   0.00441
 183     4.040  -19704244.004  31862849   0.00767  -0.00104
 184     3.880  -19704024.779  33116728  -0.00244  -0.00563
 185     3.970  -19704312.794  29540800  -0.00318   0.00580
 186     4.070  -19704515.822  29739139   0.00633   0.00385
 187     4.020  -19704494.407  29009540   0.00191   0.00651
 188     3.940  -19704209.907  29489959   0.00039   0.00696
 189     4.100  -19703985.358  31859747   0.00173  -0.00212
 190     4.330  -19704146.735  30636744  -0.00255  -0.00036
 191     3.990  -19703959.246  30939960  -0.00685   0.00026
 192     4.240  -19703969.763  29871950  -0.01372   0.00522
 193     4.160  -19703899.403  30848430  -0.00583   0.00322
 194     4.090  -19704305.387  32027941   0.00749  -0.00425
 195     4.140  -19704235.786  30813380   0.00386   0.00241
 196     4.090  -19704035.365  33123090   0.00047  -0.00613
 197     4.060  -19703905.036  31778930  -0.00574  -0.00139
 198     4.170  -19704124.735  33606711   0.00742  -0.00751
 199     4.250  -19704406.611  29748470   0.00408   0.00267
 200     4.030  -19704335.249  28965063  -0.00233   0.00676
 201     3.940  -19704163.379  31944005   0.00657  -0.00006
 202     4.060  -19704282.377  30167291   0.00035   0.00420
 203     4.190  -19704163.428  31208975   0.00042  -0.00092
 204     3.980  -19704021.909  30785683  -0.00452   0.00136
 205     3.940  -19704326.148  30180409  -0.00024   0.00407
 206     4.060  -19704540.319  28458791   0.00466   0.00799
 207     4.320  -19704039.816  28734473  -0.00576   0.00750
 208     4.180  -19704201.812  31025856   0.00343   0.00170
 209     4.110  -19704194.482  32666311   0.00436  -0.00393
 210     4.070  -19704064.109  32172352   0.00235  -0.00131
 211     4.100  -19704302.619  31847883  -0.00047  -0.00361
 212     3.980  -19704025.656  32307698  -0.00555  -0.00107
 213     4.240  -19704060.493  30346667  -0.00198   0.00062
 214     4.220  -19703849.233  32099669   0.00213  -0.00341
 215     4.250  -19703936.511  31676417  -0.00336  -0.00193
 216     4.220  -19703906.043  34290302  -0.00448  -0.00976
 217     4.090  -19704358.404  28497957   0.00373   0.00740
 218     4.020  -19703547.713  32956967   0.00072  -0.00438
 219     3.980  -19703987.220  32720414  -0.00194  -0.00419
 220     4.040  -19704236.736  33010689   0.00813  -0.00364
 221     4.060  -19703909.948  34138334   0.00027  -0.00792
 222     4.100  -19704361.599  28273109  -0.00488   0.00910
 223     3.970  -19704162.382  31242007   0.00016  -0.00015
 224     4.210  -19703972.785  30438823  -0.00762   0.00234
 225     3.940  -19704131.420  32070429  -0.00020  -0.00204
 226     4.120  -19704016.366  28951753  -0.00119   0.00828
 227     4.080  -19704113.999  30624153  -0.00014   0.00101
 228     4.030  -19704236.674  31222216   0.00662  -0.00056
 229     4.190  -19703891.864  33955320  -0.00126  -0.00825
 230     4.090  -19704299.261  32061437   0.00740  -0.00116
 231     4.160  -19703820.961  32787975  -0.00132  -0.00367
 232     4.010  -19704125.282  29366875   0.00119   0.00768
 233     3.990  -19704479.829  31184447   0.00756   0.00150
 234     4.070  -19704020.674  29077828  -0.00250   0.00662
 235     3.950  -19704568.787  29662756   0.00333   0.00493
 236     4.100  -19704066.694  31898596  -0.00185  -0.00295
 237     4.110  -19704166.903  28396082   0.00060   0.00783
 238     4.100  -19704166.169  33794764   0.00176  -0.00558
 239     4.130  -19704066.016  31257062  -0.00039   0.00064
 240     4.010  -19704214.542  29662011  -0.00018   0.00735
 241     4.250  -19704465.529  32296846   0.00396  -0.00435
 242     3.990  -19703928.953  33901113   0.00728  -0.00703
 243     4.340  -19703920.917  31865646  -0.00100  -0.00058
 244     4.010  -19704075.402  32579130   0.00721  -0.00395
 245     4.190  -19704291.028  28987802  -0.00151   0.00701
 246     3.990  -19704042.310  32667951   0.00615  -0.00313
 247     4.070  -19704348.803  29991123   0.00037   0.00431
 248     4.200  -19704147.418  30138394  -0.00451   0.00288
 249     3.990  -19703837.946  32139929  -0.00105  -0.00302
 250     4.070  -19703950.722  32325993  -0.00127  -0.00458
 251     4.270  -19704021.023  30784965  -0.00687   0.00161
 252     3.920  -19703877.701  32499761   0.00068  -0.00443
 253     4.120  -19704132.483  30871040   0.00137   0.00160
 254     4.100  -19704306.870  29923888  -0.00120   0.00335
 255     4.120  -19703656.070  34565574  -0.00108  -0.00865
 256     4.040  -19704167.950  31924232  -0.00008  -0.00027
 257     4.100  -19704181.295  30099249  -0.00216   0.00478
 258     4.120  -19704148.429  30862352   0.00022   0.00218
 259     4.060  -19704130.090  32182228   0.00037  -0.00314
 260     4.080  -19703756.441  34027328  -0.00533  -0.00597
 261     4.160  -19704047.149  31773871  -0.00098  -0.00298
 262     4.100  -19703845.273  32580817  -0.00191  -0.00301
 263     4.040  -19704246.127  30724528   0.00576   0.00438
 264     4.110  -19704246.217  29119799   0.00094   0.00780
 265     4.200  -19704016.038  29844524  -0.00189   0.00262
