
Rho     Fit     CLR     CF
    0.30 16052.18  510.682   81.085
    0.20 16343.95 1209.194 -143.667
    2.70 40127.38 7186.249 -159.983
    0.00 13120.93 5518.317  273.967
    0.00 14200.78 3814.617  270.211
    0.20 17324.22 1115.352   84.967
    0.60 18569.44  152.841  689.612
    0.20 15727.31  947.344  -12.490
    0.00 14856.70 3749.853 -135.630
    0.00 14145.72 3277.522   92.578
    0.60 15739.60   18.780  -23.373
    0.50 18371.08    0.000  -94.984
    0.30 20426.45  299.979  266.284
    0.70 32778.65  449.743  165.009
    0.40 19793.94  148.563 -225.180
    0.00 15527.13 3262.090 -162.763
    0.30 18266.43  559.893  520.148
    0.30 16757.11  822.484   89.828
    0.70 17551.17  279.034   93.878
    0.40 17279.28   73.361  150.060
    0.00 13446.73 5137.890 -177.154
    1.00 31320.54 1098.321 -177.636
    1.20 27428.54 2726.846 -196.891
    1.30 24813.92 4649.929   36.159
    0.10 17741.75 1074.927  102.358
    0.80 22135.27  754.672  413.891
    1.70 29040.58 6118.721   14.024
    0.70 21058.73  332.257  152.524
    0.40 16727.63   68.258   60.832
    2.90 38630.90 8162.381 -223.112
    2.20 34424.83 7191.505  -23.128
    0.20 15239.90 1277.006 -334.446
    1.10 25302.62 2701.357  100.075
    0.00 15203.32 2989.963  356.721
    0.50 22189.94    0.000  452.197
    1.60 23371.92 4474.680  206.275
    0.30 14968.24  335.987   97.484
    0.20 19576.99 1008.203 -155.440
    0.90 21463.54 1043.763  165.170
    0.00 15067.58 2498.506  586.767
    0.70 24718.83  471.410  285.681
    0.40 18698.87  279.423   76.270
    0.30 18279.87  525.964  -31.931
    0.00 15803.93 1345.500  413.696
    0.70 32767.03  267.948 -347.216
    0.30 15737.29  459.888   54.079
    1.60 30381.65 4893.061 -163.457
    0.00 14554.72 4638.715   49.985
    0.40 16857.33  158.900  195.619
    0.00 14534.12 3753.682   99.985
    0.20 14647.52 1709.301  140.820
    1.40 25667.97 5354.033  227.489
    0.00 13468.63 5278.843  473.370
    0.40 15702.03    2.460  389.979
    1.40 27766.21 3722.050  214.072
    3.30 39644.73 10435.173  -98.707
    0.20 17747.13  756.709  201.465
    0.90 21706.12 1002.815  168.695
    0.80 25295.89  692.784  -41.056
    0.00 17301.83 1860.192   25.272
    0.20 15509.79  527.687  259.098
    0.00 15328.09 2675.406   54.094
    0.00 16620.81 2251.026  416.232
    0.30 17724.78  246.903  266.297
    0.00 16010.81 2492.039  278.146
    0.00 15391.21 2762.802 -233.227
    2.00 40136.06 4729.007  -92.676
    0.30 19314.60  427.340  207.934
    0.80 19996.75  873.516  -44.070
    0.50 19979.26    0.000  -15.224
    0.20 16973.28  879.116 -183.013
    2.00 34700.24 5561.874 -229.095
    0.80 23222.64  705.355 -420.929
    0.50 19156.23    0.000 -279.864
    1.50 27040.29 5222.423  412.665
    0.80 19052.21  886.795  273.272
    1.00 23172.23 2276.282 -479.153
    0.80 26316.03  601.603 -140.532
    0.00 14192.27 4944.350  284.574
    0.40 16147.93  151.791   80.281
    0.30 17303.29  883.725   97.964
    0.40 17540.33  123.581  -33.591
    0.40 17641.36  137.531   43.919
    3.50 32912.95 15474.527  307.676
    0.70 26249.88  504.849  -93.458
    0.60 20402.17   81.780 -240.283
    0.00 14053.87 3217.471 -102.093
    0.00 15813.87 3965.226  108.433
    1.40 24489.15 4213.348   56.535
    0.00 15897.45 2025.059  281.707
    0.40 16306.76  114.001  -39.598
    0.60 19294.22  125.451  109.588
    0.20 14544.44 1514.763  338.350


Number of simulated fits > obs = 329 (of 500)
Number of simulated rho  > obs = 210

